"idIndividu","identite","prenom","nom","surnom","provVille","titre","profession","chargeEccl","sante","provDioc","statut","residence","titre2","profession2","identiteNorm","genre","provVilleT","titreT","titreTN","professionT","professionTN","chargeEcclT","chargeEcclTN","provDiocT","santeT","statutT","statutTN","titre2T","titre2TN","profession2T","profession2TN","decedeAvant","mention1","prenomTN","nomTN","nomDetail","professionCategorie","professionTheme","identification","dateChargeEccl"
8330,"guillelmus de paragio","guillelmus","de paragio",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"citoyen d avignon",NULL,NULL,NULL,NULL,"homme",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"citoyen","citoyen",NULL,NULL,NULL,NULL,NULL,1358,"guillaume","de paragio",NULL,NULL,NULL,"homme",NULL
8482,"johannes may","johannes","may",NULL,"luca",NULL,NULL,NULL,NULL,NULL,"citoyen d avignon",NULL,NULL,NULL,NULL,"homme","lucques",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"citoyen","citoyen",NULL,NULL,NULL,NULL,NULL,1358,"jean","may",NULL,NULL,NULL,"homme",NULL
9361,"petrus de bosco speciatore","Petrus","de bosco",NULL,NULL,NULL,"speciatore",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"homme",NULL,NULL,NULL,"epicier","epicier",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1384,NULL,NULL,NULL,"marchand","negoce","homme",NULL
9379,"petrus scoti","petrus","scoti",NULL,NULL,NULL,"sartor",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"homme",NULL,NULL,NULL,"tailleur","tailleur",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1384,NULL,NULL,NULL,"metier de l habillement et de la chaussure","textile","homme",NULL
8609,"perrotus de ausurra","perrotus","de ausurra",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"citoyen d avignon",NULL,NULL,NULL,NULL,"homme",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"citoyen","citoyen",NULL,NULL,NULL,NULL,NULL,1358,"perret","de ausurra",NULL,NULL,NULL,"homme",NULL
9530,"bertrandus alamani banasterio","bertrandus","alamani",NULL,NULL,NULL,"banasterius",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"homme",NULL,NULL,NULL,"vannier","vannier",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1384,NULL,NULL,NULL,"metier de la decoration fourniture","utilitaires","homme",NULL
8750,"ricanus andree","ricanus","andree",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"citoyen d avignon",NULL,NULL,NULL,NULL,"homme",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"citoyen","citoyen",NULL,NULL,NULL,NULL,NULL,1358,"rican","andre",NULL,NULL,NULL,"homme",NULL
10022,"benedictus sicardi et petrus ejus frater","benedictus","sicardi",NULL,"avinione",NULL,NULL,NULL,NULL,NULL,"citoyen d avignon",NULL,NULL,NULL,NULL,"homme","avignon",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"citoyen","citoyen",NULL,NULL,NULL,NULL,NULL,1319,"benoit","sicardi",NULL,NULL,NULL,"homme",NULL
8751,"ricanus catalani","ricanus","catalani",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"citoyen d avignon",NULL,NULL,NULL,NULL,"homme",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"citoyen","citoyen",NULL,NULL,NULL,NULL,NULL,1358,"rican","catalan",NULL,NULL,NULL,"homme",NULL
8822,"vidaletus de bezes","vidaletus","de bezes",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"juif",NULL,NULL,NULL,NULL,"homme",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"juif","juif",NULL,NULL,NULL,NULL,NULL,1358,"vital","de bezes",NULL,NULL,NULL,"homme",NULL
435,"catherina tardina","catherina","tardina",NULL,NULL,NULL,"candelaria",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"catherine tardine","femme",NULL,NULL,NULL,"chandeliere","chandelier",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1363,"catherine","tardin","nom present","metier de la decoration fourniture","chandelle","femme",NULL
9219,"nicolas alberti de prato","nicolas","alberti",NULL,NULL,NULL,NULL,"eveque d ostie cardinal 1303",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"homme",NULL,NULL,NULL,NULL,NULL,"eveque d ostie cardinal 1303","cardinal",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1321,1321,"nicolas","alberti",NULL,"clerge","clerge","homme",1303
8830,"vitalis de amilhano","vitalis","de amilhano",NULL,NULL,"magister",NULL,NULL,NULL,NULL,"juif",NULL,NULL,NULL,NULL,"homme",NULL,"maitre","maitre",NULL,NULL,NULL,NULL,NULL,NULL,"juif","juif",NULL,NULL,NULL,NULL,NULL,1358,"vital","de amilhano",NULL,NULL,NULL,"homme",NULL
542,"pontius raynaudi","pontius","raynaudi",NULL,"avinione",NULL,"legum doctor",NULL,NULL,NULL,"citoyen d avignon 1384",NULL,NULL,"advocatus","ponci raynaudi","homme","avignon",NULL,NULL,"docteur en loi","docteur",NULL,NULL,NULL,NULL,"citoyen","citoyen",NULL,NULL,"avocat","avocat",NULL,1364,"pons","raynaudi",NULL,"metier du droit","droit","homme",NULL
9081,"huguetus de grasse","huguetus","de grasse",NULL,NULL,NULL,"caraterie",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"homme",NULL,NULL,NULL,"charretier","charretier",NULL,NULL,NULL,NULL,NULL,NULL,"",NULL,NULL,NULL,NULL,1381,"hugues","de grassa",NULL,"metier consacre aux chevaux et au transport","transport","homme",NULL
2521,"jaucmeta tolozan","jaucmeta","tolozan",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"femme",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1355,"jacqueline","tolozan","nom du pere",NULL,NULL,"femme",NULL
3917,"jacobus syurgici","jacobus","syurgici",NULL,NULL,"magister",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"homme",NULL,"maitre","maitre",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1298,NULL,NULL,NULL,NULL,NULL,"homme",NULL
9133,"nicholaus de hulenco","nicholaus","de hulenco",NULL,NULL,"dominus",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"homme",NULL,"seigneur","seigneur",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"",NULL,NULL,NULL,NULL,1405,"nicolas","de hulenco",NULL,NULL,NULL,"homme",NULL
9068,"johannes musini","johannes","musini",NULL,"monte pusillam",NULL,"mercator",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"homme",NULL,NULL,NULL,"marchand","marchand",NULL,NULL,NULL,NULL,NULL,NULL,"",NULL,NULL,NULL,NULL,1397,"jean","musini",NULL,"marchand","negoce","homme",NULL
157,"florentius de sabulo","florentius","de sabulo",NULL,NULL,"magister","notarius",NULL,NULL,"belvacensis diocesis","habitator avinionis",NULL,NULL,NULL,"florenti de sabulo","homme",NULL,"maitre","maitre","notaire","notaire",NULL,NULL,"diocese de beauvais",NULL,"habitant d avignon","habitant d avignon",NULL,NULL,NULL,NULL,NULL,1366,"florent","de sabulo","laurentius de sabulo dans le liber divisionis","metier du droit","ecrit","homme",NULL
9136,"himbertus chanel","himbertus","chanel",NULL,NULL,"magister","sartor",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"homme",NULL,"maitre","maitre","tailleur","tailleur",NULL,NULL,NULL,NULL,NULL,NULL,"",NULL,NULL,NULL,NULL,1408,"imbert","chanel",NULL,"metier de l habillement et de la chaussure","textile","homme",NULL
9641,"heredes banacorsii raymundi cerveleria",NULL,"raymundi",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1384,NULL,NULL,NULL,NULL,NULL,"heritier",NULL
9417,"heredi bernardi distancii",NULL,"distancii",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1384,NULL,NULL,NULL,NULL,NULL,"heritier",NULL
9782,"bertrnardus andree",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"homme",NULL,NULL,"seigneur",NULL,NULL,NULL,"pretre",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1319,NULL,NULL,NULL,"clerge","clerge","homme",NULL
10175,"peire cristol","peire","cristol",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"homme",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1319,NULL,NULL,"",NULL,NULL,"homme",NULL
10176,"bermon cantueilla","bermon","cantueilla",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"homme",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1319,NULL,NULL,"",NULL,NULL,"homme",NULL
10182,"raymon siurac","raymon","siurac",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"homme",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1319,NULL,NULL,"",NULL,NULL,"homme",NULL
3918,"katherine sororis","katerine",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"femme",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1298,"catherine",NULL,"a revoir",NULL,NULL,"femme",NULL
8168,"bernardus girardi","bernardus","girardi",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"citoyen d avignon",NULL,NULL,NULL,NULL,"homme",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"citoyen","citoyen",NULL,NULL,NULL,NULL,NULL,1358,"bernard","girard",NULL,NULL,NULL,"homme",NULL
836,"petrus monjoye","petrus","monjoye",NULL,NULL,NULL,"cursor pape",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"homme",NULL,NULL,NULL,"courrier du pape","courrier",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1366,"pierre","monjoye",NULL,"homme de peine domestique","fonction","homme",NULL
891,"bertrandus de sancto laurentio","bertrandus","de sancto laurentio",NULL,NULL,NULL,"pellicerius",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"homme",NULL,NULL,NULL,"pelletier","pelletier",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1366,"bertrand","de sancto laurentio",NULL,"cuir","cuir","homme",NULL
8420,"jacobus arnaudi","jacobus","arnaudi",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"citoyen d avignon",NULL,NULL,NULL,NULL,"homme",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"citoyen","citoyen",NULL,NULL,NULL,NULL,NULL,1358,"jacques","arnaud",NULL,NULL,NULL,"homme",NULL
2862,"guilhem michel","guilhem","michel",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"homme",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1300,"guillaume","michaelis",NULL,NULL,NULL,"homme",NULL
1310,"petrus de segureto","petrus","de segureto",NULL,NULL,"dominus",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"homme",NULL,"seigneur","seigneur",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1362,"pierre","de segureto",NULL,NULL,NULL,"homme",NULL
8630,"petrus dalmatii","petrus","dalmatii",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"citoyen d avignon",NULL,NULL,NULL,NULL,"homme",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"citoyen","citoyen",NULL,NULL,NULL,NULL,NULL,1358,"pierre","dalmati",NULL,NULL,NULL,"homme",NULL
7843,"johannes surdi","johannes","surdi",NULL,"bregonia",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"homme","bregonia",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1371,"jean","surdi",NULL,NULL,NULL,"homme",NULL
7878,"poncetus maritus johannetta","poncetus",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"homme",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1371,"poncet",NULL,NULL,NULL,NULL,"homme",NULL
2410,"symonis de columba","symonis","de columba",NULL,"avinione",NULL,"pictor",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"homme","avignon",NULL,NULL,"peintre","peintre",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1380,"simon ","de columba",NULL,"metier de la decoration fourniture","peintre","homme",NULL
2624,"franquello de regio","franquello","de regio",NULL,NULL,NULL,"corrieu papa",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"homme",NULL,NULL,NULL,"courrier du pape","courrier",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1351,"francois","de regio",NULL,"homme de peine domestique","fonction","homme",NULL
9550,"relicta uxor hueti malhardi",NULL,"malhardi",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"femme",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1384,NULL,NULL,NULL,NULL,NULL,"femme",NULL
1538,"bernardus planterii","bernardus","planterii",NULL,NULL,NULL,"tabernarius",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"homme",NULL,NULL,NULL,"tavernier","tavernier",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1376,"bernard","planterii",NULL,"hoteliers taverniers","vin","homme",NULL
4049,"jacobus sancti innocentii","jacobus","sancti innocentii",NULL,NULL,NULL,"tabernari",NULL,NULL,"anicien diocesis","civis liber divisionis",NULL,NULL,NULL,NULL,"homme",NULL,NULL,NULL,"tavernier","tavernier",NULL,NULL,"diocese du puy en velay",NULL,"citoyen","citoyen",NULL,NULL,NULL,NULL,NULL,1371,"jacques","sancti innocentii",NULL,"hoteliers taverniers","vin","homme",NULL
5715,"bartholomeus postre","bartholomeus","postre",NULL,NULL,NULL,"tabernari",NULL,NULL,"torin diocesis","cortisian",NULL,NULL,NULL,NULL,"homme",NULL,NULL,NULL,"tavernier","tavernier",NULL,NULL,"diocese de turin",NULL,"courtisan","courtisan",NULL,NULL,NULL,NULL,NULL,1371,"barthelemi","postre",NULL,"hoteliers taverniers","vin","homme",NULL
9243,"philippe cabassole","philippe","cabassole","cardinal de jerusalem",NULL,NULL,NULL,"cardinal des saints marcellin et pierre 1368 eveque de sabine 1370",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"homme",NULL,NULL,NULL,NULL,NULL,"cardinal des saints marcellin et pierre 1368 eveque de sabine 1370","cardinal",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1372,1372,"philippe","cabassole",NULL,"clerge","clerge","homme",1368
9244,"jean de la tour","jean","de la tour",NULL,NULL,NULL,NULL,"cardinal de saint laurent in lucina",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"homme",NULL,NULL,NULL,NULL,NULL,"cardinal de saint laurent in lucina","cardinal",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1375,1375,"jean","de la tour",NULL,"clerge","clerge","homme",1371
5358,"simon alamannus","simon","alamannus",NULL,NULL,NULL,"tabernarius",NULL,NULL,"meten diocesis","civis liber divisionis"," supra durenciam ",NULL,NULL,NULL,"homme",NULL,NULL,NULL,"tavernier","tavernier",NULL,NULL,"diocese de metz",NULL,"citoyen","citoyen",NULL,NULL,NULL,NULL,NULL,1371,"simonet","alaman",NULL,"hoteliers taverniers","vin","homme",NULL
9252,"bertrand de deaux","bertrand","de deaux","cardinal d embrun",NULL,NULL,NULL,"cardinal de saint marc 1338 eveque de sabine 1348",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"homme",NULL,NULL,NULL,NULL,NULL,"cardinal de saint marc 1338 eveque de sabine 1348","cardinal",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1355,1355,"bertrand","de deaux",NULL,"clerge","clerge","homme",1338
9819,"mag hugonis bucodena","hugonis","bucodena",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"homme",NULL,NULL,"maitre",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1319,NULL,NULL,NULL,NULL,NULL,"homme",NULL
8838,"vivas agulhe","vivas","agulhe",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"juif",NULL,NULL,NULL,NULL,"homme",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"juif","juif",NULL,NULL,NULL,NULL,NULL,1358,"vivas","agulhe",NULL,NULL,NULL,"homme",NULL
1147,"petrus manescalci","petrus","manescalci",NULL,NULL,"magister","equorum card bellifortis",NULL,NULL,NULL,NULL,NULL,NULL,NULL," Petri Manescalci","homme",NULL,"maitre","maitre","palefrenier du cardinal de belfort","palefrenier",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1363,"pierre","manescalci",NULL,"homme de peine domestique","chevaux","homme",NULL
9256,"luca fieschi","luca","fieschi",NULL,NULL,NULL,NULL,"cardinal diacre de sainte marie in via lata 1300 des comes et damien 1305",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"homme",NULL,NULL,NULL,NULL,NULL,"cardinal diacre de sainte marie in via lata 1300 des comes et damien 1305","cardinal",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1336,1336,"luca","fieschi",NULL,"clerge","clerge","homme",1300
9265,"bernard d alby","bernard","d alby","cardinal de rodez",NULL,NULL,NULL,"cardinal de saint cyriaque 1338 eveque de porto",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"homme",NULL,NULL,NULL,NULL,NULL,"cardinal de saint cyriaque 1338 eveque de porto","cardinal",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1350,1350,"bernard","d alby",NULL,"clerge","clerge","homme",1338
9273,"gozzo de rimini","gozzo","de rimini",NULL,NULL,NULL,NULL,"cardinal de sainte prisque 1338",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"homme",NULL,NULL,NULL,NULL,NULL,"cardinal de sainte prisque 1338","cardinal",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1348,1348,"gozzo","de rimini",NULL,"clerge","clerge","homme",1338
3755,"durantus rufus","durantus","rufus",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"homme",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1233,"durand","ruffi",NULL,NULL,NULL,"homme",NULL
9303,"pierre tissier","pierre","tissier",NULL,NULL,NULL,NULL,"cardinal de saint etienne au coelius 1317",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"homme",NULL,NULL,NULL,NULL,NULL,"cardinal de saint etienne au coelius 1317","cardinal",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1325,1325,"pierre","tissier",NULL,"clerge","clerge","homme",1317
29,"johannetus velherii","johannetus","velherii",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"johannetus velheri","homme",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1366,"jeannet","velheri",NULL,NULL,NULL,"homme",NULL
3139,"raymundus bajulus","raymundus","bajulus",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"homme",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1255,"raymond","bajul",NULL,NULL,NULL,"homme",NULL
365,"johannes vitalis","johannes","vitalis",NULL,NULL,NULL,"fozenerius sive argenterius",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"johannis vitalis","homme",NULL,NULL,NULL,"orfevre bijoutier ou argenterius","orfevre bijoutier",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1366,"jean","vital",NULL,"metier de la decoration fourniture","metaux precieux","homme",NULL
2858,"bernard escudier","bernard","escudier","lo ranc",NULL,NULL,"sabatier",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"homme",NULL,NULL,NULL,"savetier","savetier",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1356,"bernard","escudier",NULL,"metier de l habillement et de la chaussure","chaussure","homme",NULL
2012,"symonus auribelli","symonus","auribelli",NULL,"avinione",NULL,"draperius",NULL,NULL,NULL,"citoyen d avignon 1384",NULL,NULL,NULL,NULL,"homme","avignon",NULL,NULL,"drapier","drapier",NULL,NULL,NULL,NULL,"citoyen","citoyen",NULL,NULL,NULL,NULL,NULL,1376,"simon ","auribelli",NULL,"metier du textile","textile","homme",NULL
360,"marita brige","marita","brige",NULL,NULL,"domina",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"marita brige","femme",NULL,"seigneure","dame",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1366,"marita","brige","nom du mari",NULL,NULL,"femme",NULL
9442,"heredes magistri nicolay de fractis",NULL,"de fractis",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1384,NULL,NULL,NULL,NULL,NULL,"heritier",NULL
9446,"heredibus hugonis vitalis",NULL,"vitalis",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1384,NULL,NULL,NULL,NULL,NULL,"heritier",NULL
9472,"heredibus johannis ancii speciator",NULL,"ancii",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1384,NULL,NULL,NULL,NULL,NULL,"heritier",NULL
